name,url,domain
"University of Hawaii, Cooperative Extension",http://www.ctahr.hawaii.edu/site/Extprograms.aspx,hawaii.edu
"Kansas State University, Research and Extension",http://www.ksre.ksu.edu/,ksu.edu
"University of Maryland, Extension",http://extension.umd.edu/,umd.edu
"University of Hawaii, College of Tropical Agriculture and Human Resources",http://www.ctahr.hawaii.edu/site/,hawaii.edu
"Kansas State University, College of Agriculture",http://www.ag.k-state.edu/,k-state.edu
University of Maryland Eastern Shore ,http://www.umes.edu/,umes.edu
University of Idaho,https://www.uidaho.edu/,uidaho.edu
Kentucky State University ,http://www.kysu.edu/,kysu.edu
"University of Maryland, College of Agriculture & Natural Resources",http://agnr.umd.edu/,umd.edu
"University of Maine, College of Natural Sciences, Forestry, and Agriculture",http://www.nsfa.umaine.edu/,umaine.edu
"University of Guam, College of Natural and Applied Sciences",http://www.uog.edu/cnas,uog.edu
Haskell Indian Nations University ,http://www.haskell.edu/,haskell.edu
University of Maryland at College Park ,http://www.umd.edu/,umd.edu
University of Hawaii,http://www.hawaii.edu/,hawaii.edu
Kansas State University,http://www.k-state.edu/,k-state.edu
"University of Maryland, Extension",http://extension.umd.edu/,umd.edu
"University of Hawaii, Cooperative Extension",http://www.ctahr.hawaii.edu/site/Extprograms.aspx,hawaii.edu
"Kansas State University, Research and Extension",http://www.ksre.ksu.edu/,ksu.edu
University of Maryland Eastern Shore ,http://www.umes.edu/,umes.edu
"Kansas State University, College of Agriculture",http://www.ag.k-state.edu/,k-state.edu
University of Maryland Eastern Shore ,http://www.umes.edu/,umes.edu
University of Idaho,https://www.uidaho.edu/,uidaho.edu
Kentucky State University ,http://www.kysu.edu/,kysu.edu
"University of Maryland, College of Agriculture & Natural Resources",http://agnr.umd.edu/,umd.edu
"University of Idaho, Extension",http://www.uidaho.edu/extension,uidaho.edu
"Kentucky State University, Cooperative Extension ",http://kysu.edu/academics/cafsss/research-extension/cooperative-extension/,kysu.edu
University of Massachusetts ,http://www.umass.edu/,umass.edu
"University of Idaho, College of Agricultural and Life Sciences",http://www.uidaho.edu/cals/,uidaho.edu
"Kentucky State University, College of Agriculture, Food Science, and Sustainable Systems ",http://kysu.edu/academics/cafsss/,kysu.edu
University of Massachusetts ,http://www.umass.edu/,umass.edu
"University of Idaho, College of Agricultural and Life Sciences",http://www.uidaho.edu/cals/,uidaho.edu
"Kentucky State University, College of Agriculture, Food Science, and Sustainable Systems ",http://kysu.edu/academics/cafsss/,kysu.edu
